texto,fecha,usuario
"@jschiaretti  @marioraulnegri @ljuez @rodrigodeloredo  huinca renanco,  vergüenza nacional  de los cordobeses😡🤬. ""no tienen agua potable"". no tienen hospital con terapia intensiva.  no tienen internet no tienen... y estan en el mayor grupo de exportadores d carne vacuna hilo 👇",2021-10-18 23:24:41 UTC,Guiller18474785
que vacuna del orto lcdtm me duele el brazo y encima tengo fiebre,2021-10-18 23:24:01 UTC,tobii__07
@sputnikvaccine si tu vacuna se apoya en un estudio argentino estás complicado hermano,2021-10-18 23:23:50 UTC,aridemaio
coronavirus: la ema comienza a evaluar la vacuna de pfizer para niños de 5 a 11 años https://t.co/nue1juv9rz https://t.co/g0bhpzepzg,2021-10-18 23:23:37 UTC,canal26noticias
"desde hoy los universitarios mayores de 18 años de lima y callao podrán acudir al campus de la universidad nacional mayor de san marcos (unmsm) para recibir u vacuna. la sede elegida fue la del cercado de lima.
https://t.co/7pa9oqsui4",2021-10-18 23:22:54 UTC,FPP_Noticias
"@xbxmrll @gueryjavier20 @gestionpe ponte niña se creyó el cuento que por qué está vacuna nada le pasará 😂 dile eso al decano de la católica que se vacuno a escondidas y se murió o a los miles de vacunados que andan muriendo pero bueno, nosotros somos los pesados 😂 https://t.co/z21dylz7uy",2021-10-18 23:22:33 UTC,loginoel
"nose si lloro porque me duele el brazo de la vacuna, porque tengo fiebre, porque me duelen los ovarios, porque me duele la cabeza, por el o por la música que estoy escuchando💆🏻‍♀️💆🏻‍♀️",2021-10-18 23:22:31 UTC,xdaiibelen
💉vacunación anticovid para niños en uruguay: el gobierno resolvió que la definición será en 2022 y se utilizará la vacuna de pfizer si hay una aprobación de la misma para menores de 12 años https://t.co/0nwapxuped,2021-10-18 23:22:18 UTC,TelemundoUY
la vacuna me hizo mierda,2021-10-18 23:22:04 UTC,martinaaraanda
"@sonarfm @axelcallis @pabloaranzaes @rafa_cavada la mismísima que dijo ""no hay vacuna más relevante que el amor...""
grande asesor, me gusta cuando le empieza a repartir a todos...
#sonarglobal https://t.co/1580rlnirg",2021-10-18 23:20:56 UTC,tgarcesv
que mal me pegó esta vacuna hija de puta,2021-10-18 23:20:45 UTC,morenozoe_
"evo morales recibe la tercera dosis de la vacuna contra el covid-19 
autopublicado en https://t.co/gfadg3optk de detrás de la verdad,facebook https://t.co/iot4ilu6dh",2021-10-18 23:20:43 UTC,ejutv
"la oms celebra una victoria ""revolucionaria"" y recomienda la vacuna contra la malaria para los niños en áfrica https://t.co/wl8x7ncokj a través de @medscape",2021-10-18 23:20:17 UTC,limareca66
"lunes re de mierda, lo unico que me falta es levantar fiebre por la vacuna",2021-10-18 23:19:59 UTC,NaahirMorales
"@marcoporchile hoy, los correos del minsal aun no se entregan, hay una falsa emergencia , una virus no encapsulado, una discriminación y estorción del pase de movilidad, miles de reacciones adversas de la vacuna y todos callan",2021-10-18 23:19:45 UTC,mdp0888
"#loúltimo 
 el ministro de salud, jeyson auza, anuncia que la tercera dosis de la vacuna c... 
autopublicado en https://t.co/rmpdvqikhm de facebook,periodismo somos todos https://t.co/xk6vqhnove",2021-10-18 23:19:41 UTC,ejutv
uy pero la puta madre loco... yo solo quería la vacuna no unos ganglios mas sensibles que mi vida https://t.co/8vbis13oms,2021-10-18 23:19:07 UTC,Yboo__Cavelli
"coronavirus: los anticuerpos que genera la vacuna janssen-j&amp;j son menos pero se prolongan más | los generados por pfizer y moderna caen ""drásticamente"" a los seis meses https://t.co/bu77dfg603 a través de @pagina12",2021-10-18 23:17:54 UTC,doa65
hoy me levante echa pija por la vacuna y me acorde de algo gracioso que me dijo el otro dia y me rei sola como una tarada en ese momento me di cuenta que me hace tan bien,2021-10-18 23:17:51 UTC,_mmmaaii
"me dormí una siesta de 5 horas post vacuna, la pfizer haciendo efecto",2021-10-18 23:16:48 UTC,Feseanopolo
"si @drenriqueparis dice que los ciudadanos no vacunados se van a morir, por qué la vacuna no es obligatoria?
porqué los #novacunados que adquirieron inmunidad antes de las #vacunas son ignorados, en vez de ser caso de estudio?
por qué esa liviandad terrorífica en sus palabras? https://t.co/l3g5aetqqq",2021-10-18 23:16:25 UTC,Eduardo_Ceroni
"@eabusad estéril quedará este gobierno de izquierda con ""la vacuna belmont"".",2021-10-18 23:16:14 UTC,Edison85187718
ya me esta queriendo doler la espalda. maldita vacuna 😭😭,2021-10-18 23:16:09 UTC,aa_giu
"@ale11_alejandro @feigue9 @patobullrich la mayoría con vacuna no aprobada x la oms, la sputnik, muchos con una sola dosis porque rusia nos dejó colgados del pincel, otros con combinaciones que no se hizo en ningún país el mundo desarrollado. ah!....y los vacunados vip riéndose.
europa, la mayoría con el 70% ""completa""",2021-10-18 23:15:53 UTC,eufrasia1951
@laulezcano claro q está. ahora hay q tener cuidados básicos como el alcohol en manos y el barbijo y esperar a ver qué pasa con la apertura total q hay. la vacuna no es una cura sino una prevención. yo y los míos nos seguimos cuidando 💪🏽,2021-10-18 23:15:49 UTC,CatuNz
"@elturista_py @ramira_ld me encantaría ir...😊 pero seguro que van a exigir inocularse esa ""ñembo"" vacuna experimental...😒 así que, paso...😌",2021-10-18 23:14:32 UTC,AmandaSPeralta
"@rualgonzalez @anilem_4cuenta mucho grito pero seguís sin informarte y encima confundís el proceso de una vacuna (hoy todas en fase experimental) con la aprobación para su uso por parte de los organismos gubernamentales.
muteado por imbécil",2021-10-18 23:12:52 UTC,maru_diego
quiero llorar de lo mal q me está pegando la vacuna,2021-10-18 23:11:00 UTC,prinacatherin1
"@river12918 @anita_bbelen y tiene las cenizas del 2011 todavia

te piden la vacuna antitetánica para entrar",2021-10-18 23:10:47 UTC,Nichered12
#bolivia entérate más detalles de la última decisión tomada por el gobierno para evitar la pérdida de dosis de vacuna contra el #coronavirus. https://t.co/lgsjrlg03t a través de @correodelsurcom,2021-10-18 23:10:35 UTC,correodelsurcom
"pueden creer q dsp de 5 días recién me dejo de doler la vacuna, no sé si paola y yo somos las únicas no enteradas de ese dolorcito o ya somos muy estupidas",2021-10-18 23:10:24 UTC,denguenett
@maru_diego creo que bloquearte es una buena vacuna para no leer las imbecilidades que escribís.,2021-10-18 23:09:01 UTC,chechelecker
"capas están esperando que me agarre el bicho para darme mi segundo turno de vacuna, eso debe ser",2021-10-18 23:07:29 UTC,pividorimagui
"me hice la fuerte yendo a cursar, pero la vacuna me pego mal",2021-10-18 23:07:25 UTC,agustinapanozz6
"si tu protesta sale por tv
eres un perkin
eres una marioneta
eres un tonto útil
un llavero de los medios
chaperón de políticos
una vergüenza
lo bueno la vacuna se llevara a millones de ustedes

#estallidosocial 
#estallidodelictual 
#18deoctubrexlared",2021-10-18 23:04:59 UTC,devezennex
"hoy me pusieron la vacuna pero no me la pusiste vos, td mal",2021-10-18 23:04:27 UTC,_pris24
estoy en la cola de la vacuna y solo pienso en tomar un café 🥶,2021-10-18 23:01:29 UTC,notsadae
"@zinclaudio en rio de janeiro, abuela de una alumna de mi hija,  semi postrada, dos dosis de vacuna, dio positivo por  tercera vez. no estarían siendo muy efectivas las vacunas. allá ya empezaron con la tercera dosis a  adultos @edufeiok @lanacionmas",2021-10-18 23:00:51 UTC,Diana0750
"nueva forma de gilear 2021
“como te cayó la vacuna”",2021-10-18 23:00:22 UTC,adrisreadytorun
"@cesararm2 @beregueiro @horaciorlarreta cada pibe y cada piba vacunada, cada vida que se salva por la vacuna, porque eso es dar vida y no una piedra que te puede matar.",2021-10-18 22:58:56 UTC,adriantuc
"la agencia europea del medicamento (ema por sus siglas en inglés), ha comunicado hoy el inició de la evaluación de la vacuna de pfizer-biontech contra la covid-19 para los niños de entre 5 y 11 años.
https://t.co/g10wses6a1",2021-10-18 22:58:21 UTC,FPP_Noticias
@cesararm2 @beregueiro @horaciorlarreta tenes razón césar. a mi viejo se lo llevo esta mierda y una piedra no le rinde homenaje. es duro que te entreguen un féretro cerrado y no poder despedirlo ni lloraron y q todo el contacto es con el médico q te llama todos los días. a mi viejo lo homenajea cada vacuna colocada +,2021-10-18 22:57:57 UTC,adriantuc
jajaj yo re manija para ir a la fiesta de disfraces al final piden el carnet de vacuna anda a cagar 🙃🖕,2021-10-18 22:57:23 UTC,Distint49068666
@ruciaypecadora oye anda a hacerte un pcr no es normal que no sientas sabores por la vacuna,2021-10-18 22:57:03 UTC,rugbistajorge
"@fernandoewtn si todos hacen lo q ud, y nadie se vacuna, la pandemia sigue, no se puede detener ya q no hay medicamentos, y seguirían muriendo personas, gracias a dios, no seguimos sus consejos.",2021-10-18 22:53:03 UTC,PabloPereira63
"sumale a mi vida y humor de mierda, todo el día en cama por la vacuna 🤬😠",2021-10-18 22:50:43 UTC,marialuzmanzur
me di la vacuna hoy a la tarde y ya me toy empezando a sentir mal 🥴,2021-10-18 22:50:09 UTC,Diegoalvarezokk
"@crissuperann @diani_31 @gracielmoreno acá en provincia te hisopan en cualquier puesto que puso la gobernación y te dan el resultado a los 15' y sino hay vacuna libre para mayores de 18. mucho tn, cristina",2021-10-18 22:49:34 UTC,sebavallesta22
"martes se abre el puente para que empiecen a cruzar. sin cupo de pasos diarios, pero con pcr de 72, antígeno en el lugar y cronograma completo de vacuna. https://t.co/53ftyt899y",2021-10-18 22:48:18 UTC,daricun
"@mantuleasa @papumamu2 ni covid, ni vacuna
solo una gripe como la gripe cualquiera de años anteriores. aunque hacía muchos años que no me engripaba.
ya le vamos a dar un shotenelort para que se vaya del todo.",2021-10-18 22:48:14 UTC,Susy_6_12
@masofel hasta una niña sabe mucho más que wns viejotes no pueden ver la importancia de la vacuna.,2021-10-18 22:47:59 UTC,ChinoCespedes
@shinatw no sabia que en salto daban 3 dosis de vacuna amigo ☠☠☠☠,2021-10-18 22:47:04 UTC,bludzsx
no yo pensando q mi vida cambiaría después de la vacuna,2021-10-18 22:46:45 UTC,greenhouse2310
que linda siesta pero me desperté con el brazo de la vacuna re estúpido,2021-10-18 22:46:39 UTC,Fraanco9_
"la vacuna me destrozó el brazo, en cualquier momento me lo arranco",2021-10-18 22:45:19 UTC,LuMercado05
"por todas esas y porque @horaciorlarreta es un ser despreciable, que nada le importa.
parece que el focus group dice que no le importa la vacuna de sus hijxs. https://t.co/niaep9yh47",2021-10-18 22:45:12 UTC,victorincoco
"en esta oportunidad, el nuevo plan de vacunación del ministerio de salud, establece que no se aplicarán los biológicos en los centros vacunatorios, ya que las brigadas saldrán a las calles. 

#apn 

https://t.co/2drqjhgpuf",2021-10-18 22:45:00 UTC,asupostpy
"conmishijosno ... pero la vacuna no me importa
no @horaciorlarreta ¿? https://t.co/yd75iyzbiz",2021-10-18 22:43:51 UTC,victorincoco
m pegó la vacuna ???????,2021-10-18 22:43:35 UTC,alddanal
"@ministeriosalud @ministeriosalud consulta el 5 de noviembre viajo con mi hijo de 8 años a calama, si yo cuento con mi pase de movilidad y él aun no tiene su vacuna, puede viajar sin problemas con mi pase sin necesidad de realizarse pcr",2021-10-18 22:41:54 UTC,Gabita_ls
che pegó esa vacuna eh.,2021-10-18 22:40:56 UTC,mrbrownstone22
"@micky00071 @paroles9 @carlitoz22 @pedrocastillote @ensustrece belmont es un antivacunas, entonces es bruto, solo se vacuno el 50%. de nada servirá si no se vacuna el 85 o 90%.",2021-10-18 22:40:49 UTC,CcarlosBravo
vacuna los pibes larreta https://t.co/mryrhztku0,2021-10-18 22:40:41 UTC,casandra168
de verdad me iba a hacer mal otra vez la vacuna?,2021-10-18 22:40:36 UTC,AballayCaren
méxico prevé envasar la vacuna rusa sputnik v a partir de la segunda quincena de noviembre https://t.co/vafwgvzgg7 https://t.co/ikeqq3ppge,2021-10-18 22:39:09 UTC,LimaNoticia
pega la vacuna,2021-10-18 22:39:06 UTC,mateooo07
@burdeos26 alberto anunció que vacunarán a 10 millones de argentinos entre enero y febrero https://t.co/rk04mmljsy,2021-10-18 22:38:52 UTC,HugoTanco
"bueno, en el geriatrico de lincoln están todos vacunados con sputnik, ahí vamos a verificar la eficacia de la vacuna.",2021-10-18 22:37:39 UTC,silvanazuccari
definitivamente la vacuna me dejó tirada,2021-10-18 22:37:13 UTC,EduCornalino1
que feo pegó hoy la vacuna😭,2021-10-18 22:37:07 UTC,Camidiazg12
"pfizer es la única vacuna que se puede aplicar a menores de edad
lunes, 18 octubre 2021
luego de que el ministerio de salud aprobara el protocolo de vacunación para el covid-19 para menores de edad (12 a 17 años)
https://t.co/7ocneh72fo https://t.co/pwirp5qbrh",2021-10-18 22:36:59 UTC,MagazineN
gobierno decide vacunar con tercera dosis a toda la población en octubre: el gobierno decidió que desde este martes y solo por octubre se inmunice con la tercera dosis de la vacuna anticovid o “refuerzo” para toda la… https://t.co/mni57840o6 #fmbolivia #bolivia #noticias,2021-10-18 22:36:34 UTC,FmBolivia
hermoso momento coyuntural para volver a divulgar este hilo sobre el hpv y su vacuna: https://t.co/wy0opdvdzy,2021-10-18 22:36:16 UTC,eduregueira
"quien no se vacuna en rd prácticamente no podrá ni salir a la calle, los militares hacen retén y exigen tarjeta de vacunación, 
super mercados, bancos, transporte, escuelas, centros médicos, restaurantes, tiendas, etc no permiten ingreso sin las vacunas. 
#dictadurasanitariard",2021-10-18 22:35:43 UTC,GarciaCarlosRD
@vivoencharlone china (en general) / la -vacuna- china / la china (esta última hoy se resignificó),2021-10-18 22:35:39 UTC,bertimolo
"#argentina #sorete 

cristina kirchner "" somos humanistas y cristianos "" 

cuarentena eterna
40% de pobreza
64% de pobreza infantil
militaron una vacuna rusa
vacunados vip
militan agendas globalista💚#aborto etc...

todo esto me dice que no son ni humanos ni cristianos❗️ #14n https://t.co/ilomhkhaes",2021-10-18 22:35:06 UTC,DonJeronimoOK
@lunanielsenn por miedo a la vacuna? dkdd,2021-10-18 22:34:57 UTC,bebech0w
@marielarosales la vacuna llegó tarde y ustedes no son responsables de nada.. ¿me vas a decir que los que se iban al exterior y cuando volvían no hacían la cuarentena y se juntaban a manifestar contra la vacuna y el barbijo eran obreros kirchneristas?,2021-10-18 22:33:27 UTC,huguitogenio
"@nolitapunch lo que cambió es fundamentalmente que desde marzo 2020 nos han robado la libertad a todos los habitantes del planeta, y ponen esta vacuna como condición para recuperarla. 
no pasaba con las vacunas anteriores, que yo sepa...",2021-10-18 22:32:51 UTC,GoodQueenBess_
"nene x: a mi hoy me pusieron la vacuna,y no llore. vos lloraste ?

como le digo que casi me voy con san pedro",2021-10-18 22:31:01 UTC,antocam98
@lilig5820 @boquensecode @cfkargentina fue de ustedes ¿o me vas a decir que los que se iban al exterior y cuando volvían no hacían la cuarentena y se juntaban a manifestar contra la vacuna y el barbijo eran obreros kirchneristas?,2021-10-18 22:30:51 UTC,huguitogenio
"@thorstein_cl mi hermana se puso la tercera dosis y terminó en la clínica con nauseas y diarrea, del terror! tampoco es capaz de asociarlo con la vacuna, habiendo tanta información que habla de trombos, miocarditis y tb los efectos que ella presentó",2021-10-18 22:30:32 UTC,kanitox
"@kido_san99 @delaislarodead1 @francesbeanzz me refiero a que antes tuvieron que migrar pasando por varios países sin tener un destino fijo final, los de ahora por no querer ponerse una vacuna chota",2021-10-18 22:30:24 UTC,glenda_martens
@luabru1 fue lo que hicieron ¿o me vas a decir que los que se iban al exterior y cuando volvían no hacían la cuarentena y se juntaban a manifestar contra la vacuna y el barbijo eran obreros kirchneristas?,2021-10-18 22:29:40 UTC,huguitogenio
"@chinocespedes si es así, yo creo debieses ir el jueves, si te levantas solo a la vacuna, y luego llegas a hacer reposo",2021-10-18 22:29:40 UTC,Joviijovaa
"que mrd tiene esa vacuna 😭😭😭 me duele todo y la fiebre no se me va, odio todo",2021-10-18 22:29:39 UTC,ImYadhiraHerron
"""que la experiencia adquirida en el manejo de la pandemia, permita a las autoridades optimizar y continuar con el reto de erradicar la malaria en el perú"". https://t.co/vbjf6orvue

[un post de gabriel carrasco escobar]

#saludpública",2021-10-18 22:27:51 UTC,lamula
@drenriqueparis vacuna experimental con graves efectos adversos ya confirmados en todo el mundo...,2021-10-18 22:27:11 UTC,emiliojorge1918
"lunes ✅✅✅
destrucción de residuos ✅
segunda dosis vacuna anticovid✅
depósito casi, casi listo ✅
¡che guapa!☺️",2021-10-18 22:26:18 UTC,GuadaAInsfran
"@tpatricia23 @gustavo10597098 @drenriqueparis @ministeriosalud oh los weones duros de cabeza, si me da lo mismo si el weon se vacuna o no, wea de él, pero que no venga a hacerse la víctima con que lo obligan, cundo lo único que se está haciendo es informar una cifra.",2021-10-18 22:26:01 UTC,RamirezEstebanF
@msaludpy gracias x contestar. pasajeros de usa necesitan la vacuna contra fiebre amarilla???,2021-10-18 22:25:46 UTC,oscarcorboT
israel pide preparación para la cuarta dosis de la vacuna contra el covid-19 ▶ https://t.co/twrcgqxfs3 https://t.co/8t1fgzhvag,2021-10-18 22:24:27 UTC,davidnesher
"ninguna vacuna brinda una protección del 100%, pero las vacunas #covid son extremadamente seguras, ""reducen drásticamente el riesgo de hospitalización y muerte por covid"". #vacunarsedependedeti, protege a los tuyos y a la comunidad.",2021-10-18 22:24:21 UTC,marylinvalenti5
"piola me dieron la vacuna, nosé para que si ni salgo de mí casa pero bueno",2021-10-18 22:24:00 UTC,_daviddelvalle_
@patoalanaranja9 igual con lo de la vacuna yo respondía igual 😂,2021-10-18 22:23:54 UTC,titibnh
"si alguien se pregunta como se borraxita, la respuesta es la vacuna. https://t.co/eanvyapyy6",2021-10-18 22:22:46 UTC,ximenagaviota
#video ¿qué pasó en san marcos? esperaban vacuna rock y ‘alma bella’ los sorprendió►https://t.co/hkjkrb98gp https://t.co/es4afdqizj,2021-10-18 22:20:03 UTC,elpopular_pe
"#vancan2021 🐶
continuamos con la campaña de vacunación antirrábica canina💉 pero, ¿sabes qué es la rabia? aqui te dejamos información importante para ti y tu mascota.
🚨¡la vacuna es gratuita!🚨 https://t.co/l8yrbzvgkz",2021-10-18 22:19:00 UTC,DiresaCallao
perdón doctora que me pondrá la vacuna pero no puedo escuchar sus indicaciones con tremendo perreote afuera,2021-10-18 22:17:56 UTC,JDC_2808
"que se cambió el criterio, que le dan café multicolor a los funcionarios del observatorio, que les inyectaron algo con la vacuna 🤔🤔🤔😂😂😂😂 https://t.co/k6tngjjgsl",2021-10-18 22:17:51 UTC,MKnck
"@viejolmolina @meganoticiascl se puede respaldar eso con evidencia?
- ""si la gente no se vacuna, circula más virus""
- ""si hay nuevas variantes también también"" ¿debería entender que las nuevas variantes se dan en no-inoculados? porque si es así, la epidemiologa que te mencioné debe estar mintiendo.",2021-10-18 22:16:56 UTC,AlexisL1984_0
"@saezlalo @manenitabrzovic una vez más: la vacuna no evita que se contagie, evita que sus síntomas sean severos, evita desarrollar neumonitis y morirse, no evita contagiarse!! por eso, es necesario el uso de mascarilla, lavado de manos etc.",2021-10-18 22:16:21 UTC,karengtm
"gestionando y trabajando 
vacunas: https://t.co/kauxdyzjoh

podría darse un tercer refuerzo en 2022: https://t.co/mrhu66dfjo",2021-10-18 22:16:07 UTC,ailennn_n
