texto,fecha,usuario
@cesarcombina @mirtyvas el fajín ministerial contiene un virus embrutecedor. te lo pones y te vuelve un zombi a órdenes del sombrero luminoso. ni cuando estás ardiendo te das cuenta de la realidad.,2021-10-18 20:54:30 UTC,mangcer
"@silvinamarq @adriana04301930 propongo que les cobren a cachamai, sant gotard, la virginia, etc, ya que el ""con un tecito caliente se muere el virus"" ganaron fortunas
y a figueras y sigman, que ganaron fortunas con las vacunas",2021-10-18 20:54:00 UTC,alitooooo57
"@feriglesias @viluuok para mi están inyectados con algún veneno anula neuronas.lo peor es que se reproducen rápidisimo durante este tipo de gobierno nefasto. tenia razón el líder,  el populismo es peor que el virus.",2021-10-18 20:53:12 UTC,aleja1959t
"esto sería una buena excusa para cerrar ciudades, controlar la población, imponer un programa de vacunas, negocios farmacéuticos, acelerar una crisis, crear deuda y transferir riqueza al sistema financiero. ¿o nos quieren cuidar de un ""virus"" con el 99.9% de supervivencia?",2021-10-18 20:49:17 UTC,jorgeadedo
su miedo no era el virus. fue el paso inevitable hacia el totalitarismo.,2021-10-18 20:48:52 UTC,nicodealzaa
"@__hastur @adnradiochile lo que mata es tu ignorancia sin límites ql. 
una vacuna es una preparación destinada a generar inmunidad adquirida contra una enfermedad, mediante la estimulación de la producción de anticuerpos. ergo tu cuerpo es el que combate al virus mediante anticuerpos, no la vacuna...",2021-10-18 20:43:42 UTC,kvsol
la panelista contó cómo está su madre tras contraer el virus. https://t.co/u11tj8gs7k,2021-10-18 20:42:15 UTC,LAVOZcomar
@claudishita_ virus y la voz del gran federico moura 🤩,2021-10-18 20:36:12 UTC,PuercoTierno
"@gonziver negra de 💩 tu suciedad no permite que te entre ningún virus, hdmp",2021-10-18 20:32:46 UTC,JorgeRicardoQ
"@ricardo_1860 flaco, ahora son los países latinoamericanos, que con sus carencias, están afrontando mejor el virus. la desinformación juega mucho en los eeuu o rusia, y ellos disponiendo de vacunas y recursos. no limitar a los salvajes de la información cuesta.",2021-10-18 20:30:38 UTC,jcastrolovera
"@pdazan @pdazan hasta 20/10/2021 muestre documento oficial cientifico donde el virus este aislado o purificado, responda por grafeno sustancia nanometalica prohibido en todo el mundo uso en animales como humanos en las vacunas.
la emplazamos a responde
@ciper @corteidh @nataliaravanal1",2021-10-18 20:24:36 UTC,ojos_aguila
"🦠de virus y vacunas💉
exponen @d_toroascuy y @loretofuenzali5 @autonomadechile 
charla sobre cómo son los virus, la importancia de ellos en nuestro mundo, y como las vacunas han permitido controlar propagación. 
🗓️22 de octubre | 12:30 horas
🔗https://t.co/tegbkkueqv
#feci2021 https://t.co/kegkctbyg2",2021-10-18 20:20:09 UTC,ciencias_chile
@exitosape debería pensar un poquito antes de hablar. respeto por los peruanos que han fallecido por este virus.,2021-10-18 20:19:39 UTC,Milagro79017024
"@eltontoblood @gustavo10597098 @drenriqueparis @ministeriosalud aweonao, tienen que evitar de alguna forma que el virus no se propage, tuviste clases de biología alguna vez o te educaron entre las vacas? si, tú te puedes no vacunar, pero no puedes exigir que no se preocupen de controlar una pandemia, porque para eso están en esos cargos.",2021-10-18 20:14:26 UTC,RamirezEstebanF
@carlosmaslaton revienta el imperio yanqui gordo ya te vengo diciendo. el virus era su ultimo cartucho y fracasaron...,2021-10-18 20:07:26 UTC,finmundismo
parece que hay un virus china que produce separaciones y no hay barbijo para protección https://t.co/4nzkpfoez2,2021-10-18 20:04:58 UTC,ET_HORCHE
"👉 ¿sabías que la #cúrcuma es un aliado natural de la salud contra virus y bacterias?

además de dar color y sabor a las comidas, también mejora nuestra protección frente a enfermedades. 

#difundiendosalud #salud #avestrategias #comunicacion #vidasana https://t.co/yfxfwyq2pl",2021-10-18 20:00:09 UTC,AV_ESTRATEGIAS
"asimismo, la defensa del exmandatario alega que un nuevo encarcelamiento de toledo manrique lo estaría exponiendo a un posible contagio del virus del covid-19.
https://t.co/lkx1jxlf2e",2021-10-18 20:00:00 UTC,RevistaWAPA
"siguen insistiendo con los ""casos"" y los test pcr positivos pero ahora en niños.
que haya un test positivo no necesariamente es virus infectivo. pueden restos del virus luego de su neutralización con sist. inmune innato. y las muertes en niños conllevan comorbilidades serias. https://t.co/ecrakxryiw",2021-10-18 19:58:07 UTC,lai_dama
"es una total falta de respeto para aquellos que perdimos seres queridos por el covid 19 que se nombre como asesor a ricardo belmont, un antivacuna que vociferaba que el virus no existía y que era una farsa. tremendo error que también empaña el buen trabajo de cevallos 🙄🙄",2021-10-18 19:57:47 UTC,lainofensiva25
"@surenaencordoba @moscartelli91 @todoaumenta @franconerondre que poco empatico lo que decís, a nivel mundial murieron miles de profesionales de la salud que tomaron todos los recaudos y aún así les tocó. es un virus jodido a nivel contagio, poner culpas.. patético.",2021-10-18 19:57:38 UTC,camicamuna
"martes 22hs
las huestes del metal radio
se escuchara a :
abruzzese metal virus
publi:serpentor en obras
falange -brasil
aire arcano
orgullo fisura
https://t.co/2ftkabowlx
contacto: +54 9 1169694810
mail : leotoledo132@gmail.com
youtube-tweeter
instagram -facebook
♠♠♠ https://t.co/e2fo826tpt",2021-10-18 19:54:33 UTC,leo14toledo
@carlosmaslaton carlos al fracasar el invento del corona virus. las fuerzas de la izquierda internacional están dirigiendo al nuevo relato hacia el calentamiento global. que opinas?,2021-10-18 19:51:56 UTC,ChapiD17
"@bacigalupe el problema no soy yo, es mi empleador que cree que ya se acabó el virus…",2021-10-18 19:50:48 UTC,PetoHueso
"@msaludpy en el link explicativo que dejaron dice que van a vacunar a las personas más vulnerables y al personal de blanco por estar expuesto constantemente al virus. deberían vacunarnos también a las personas con enfermedades bases, ya que también somos vulnerables.",2021-10-18 19:49:33 UTC,bel_bent
"@nolitapunch no es lo mismo. las vacunas convencionales se basan en virus atenuados o inactivos en su mayoría. las vacunas cov son tecnología arn mensajero, nunca antes probado en humanos..y a gran escala. el gran experimento. se desconocen totalmente los efectos a medio/largo plazo.",2021-10-18 19:48:14 UTC,sada_plus1
"""los resultados de los que recibieron la vacuna con el virus inactivado, y se aplicaron el vector viral como dosis de refuerzo demostraron que aumentaron la inmunidad"" -  dr. hernán martínez, viceministro de salud.
#cuentafinal #universo970am",2021-10-18 19:45:28 UTC,Universo970py
"@donlibrotecario ando con un cartel naranja que dice: ""fuera piñera virus""
fue lo mejor que se me ocurrió 😅",2021-10-18 19:44:08 UTC,NiloSebito
"@tobillosdepapel @crtnln profanar? si eso no es una tumba? piedritas? que son todos indígenas ahora que hacen culto a las piedras???
si querían mucho a sus familiares,hubiesen pedido autopsias para buscar un tratamiento seguro y mejor para las nuevas víctimas del virus",2021-10-18 19:43:27 UTC,von_extremo
@veltcindy y covid es un virus del mal,2021-10-18 19:40:41 UTC,WjmNe
que lindo es cuando espn latinoamérica se digna a pasar al espanyol y no tengo que buscar los partidos en páginas que te meten 50 virus 🗿 https://t.co/aevp1x91ru,2021-10-18 19:40:21 UTC,rcdeuwu
virus del covid en aguas residuales: cómo fue el descubrimiento https://t.co/0oiywntcf1,2021-10-18 19:33:03 UTC,NueveLitoral
"@rmargarita73 @c_zuritaredon @ministeriosalud @albertodougnac el problema es que puedes ser asintomatica y portadora del virus y llevarlo sin querer a seres queridos. y este virus lamentablemente y lo vivi trabajando en la uci, cuando se complica es catastrofico para el.paciente. de todas formas mi deber es informarle, la respeto. saludos",2021-10-18 19:31:39 UTC,SoyRicardoAndr1
"@mariuvidal pero la falta de respeto fue de todos aquellos que dijeron que el virus no existía que era un simple gripe, q las vacunas eran un negocio, que tenían un chip para controlar la voluntad, al final quién los entiende? nunca supieron ser más q oposición literal.",2021-10-18 19:27:46 UTC,PereaDario
"@gonzamoratorio existe la posibilidad de que estos virus sean posteriores al sars-cov-2, lo que el artículo, cándidamente, no considera. de todas formas el punto de la teoría sobre el origen de laboratorio es esa ""spike"" proteína que lo hace mucho más contagioso para los humanos que para otros.",2021-10-18 19:26:10 UTC,LuisMailhos
